occurance,transcription,App_TAG
1,additional child,Enquire_FamilyAssistance
1,i have a question on a form that i got to fill out,Respond_Correspondence
1,because you sent me the letter of information of me but i i read this wrong that's why i try to know what what is the penalty you give to me because it's wrong to me,Respond_Correspondence
1,i need to tell the operator that i'm not putting in a tax return this year in reference to the family tax benefit payment,TaxReturn
2,update family income estimates,Update_FamilyIncomeEstimate
1,update my family income earnings,Update_FamilyIncomeEstimate
1,i need to talk about my payment,Enquire_Payments
1,assistance with an operator for a family assistance adjustment,Enquire_FamilyAssistance
43,tax benefit,Enquire_FTB
1,claiming for a new child new_born child,Claim
1,a carer payment,Carers
1,i need to know when the family supplement is coming,Enquire_FamilyAssistance
1,family assistance update two thousand five two thousand six,Update_FamilyIncomeEstimate
1,enquire about a loan,Advance
1,need to report port my earnings,Report_Earnings
1,i would like to speak to customer service,Request_Operator
1,query assessment notice,Assessment
2,non_lodgment of tax returns,TaxReturn
8,report my fortnightly earnings,Report_Earnings
1,money i owe,Debt
1,just i want to know how to get claim of immunization allowance,Immunisation
3,enquiry about family assistance payment,Enquire_Payments
1,enquiring on baby bonus,Maternity
1,payments amount,Check_Payments
1,payment didn't go in,Enquire_Payments
1,new_born child claim to family assistance and medicare,Claim
1,i want to stop my family allowance payments,Enquire_FamilyAssistance
1,notification of change of address,PersonalDetails
6,a letter,Respond_Correspondence
1,i'm ringing up about my tax form that needs sending out,PaySummary
1,rent assistant payment,RentAssistance
2,loan repayment,Advance
1,a question about a letter i received,Respond_Correspondence
1,to adjust my estimate for child support,ChildSupport
1,i want to repeat statement repeat invoice,IncomeReportingStatement
1,i received a letter today,Respond_Correspondence
1,i would like to speak to the customer service i just have a few questions i need to ask regarding centrelink pay n y t payment summary for the tax please,PaySummary
1,enquiring about grandparent care benefits,Enquire_CCB
1,i'm querying my family estimate combined income,Update_FamilyIncomeEstimate
1,i need to speak to someone about child_care tax rebates,ChildCareRebate
1,report my weekly earnings,Report_Earnings
1,taxable income for two thousand seven,PaySummary
1,to receive family assistance,Claim
6,i have an enquiry,Enquire_Vague
2,i want to update my income earning,Update_FamilyIncomeEstimate
1,i want to get paid fortnightly,Enquire_Payments
1,to update school hours care,Enquire_CCB
3,to check my next payment,Check_Payments
1,change in income details,Update_FamilyIncomeEstimate
1,i would just like to know the opening hours for the family assistance office in hobart,GeneralEnquiry
1,we didn't get all our money,Enquire_Payments
1,need to update income details,Update_FamilyIncomeEstimate
1,customer declaration form parenting payment single,Enquire_Parenting
1,i need to know when i'm getting my kids money,Check_Payments
1,i just need help,Enquire_Vague
2,to check on a payment,Check_Payments
1,family tax benefit and baby bonus,Enquire_FTB
1,cancelling deductions,Deductions
1,parenting payment was underpaid,Enquire_Parenting
2,querying payment,Enquire_Payments
1,other parent moving overseas,Overseas
1,regarding my letter which i received yesterday,Respond_Correspondence
1,baby bonus baby supplement,Maternity
1,i apply for family assistance,Claim
1,my daughter's got a job and i was wondering how much she can earn before i stop family tax benefits,Enquire_FTB
1,need to speak to the operator,Request_Operator
1,a family assistant,Enquire_FamilyAssistance
1,enquiring about advanced payment,Advance
1,speak to a a customer service,Request_Operator
1,report fortnightly payments,Report_Earnings
1,change my address change my address,PersonalDetails
4,disability pension,SicknessDisability
1,need a new pin number,Support_SelfService
1,follow up an appeal,Enquire_Payments
1,about health_care card,Cards
1,i need to update my family payment please,Enquire_FTB
1,vacation care program,Enquire_CCB
1,i'm leaving australia for a week,Overseas
1,my children i got a child_care,Enquire_CCB
7,change in income,Update_FamilyIncomeEstimate
1,to add a child_care service provider,Enquire_CCB
1,lump_sum payouts,Enquire_LumpPayment
1,check family income estimate,Update_FamilyIncomeEstimate
1,update family income estimate change address,PersonalDetails
1,five hundred dollar advance loan,Advance
1,payment for looking after children,Enquire_FamilyAssistance
3,repayment,Debt
1,i'm angry,Enquire_Vague
1,changes in details,PersonalDetails
1,i want to up,Enquire_Vague
1,a carers payment,Carers
1,new job,Employment
1,enquire about jet,Enquire_Jet
1,update my earning my income,Update_FamilyIncomeEstimate
1,i want to change my deductions from my family allowance,Deductions
1,did i get advance payment,Advance
1,what my payments will be this week,Check_Payments
1,to find out about the government money,Enquire_FamilyAssistance
1,current estimate of income,Update_FamilyIncomeEstimate
1,checking on my repayments for an excess amount,Debt
1,need to update income estimate,Update_FamilyIncomeEstimate
1,reply to a letter,Respond_Correspondence
1,i want to check my family assistance payments,Check_Payments
1,need to talk to a sales assistant,Request_Operator
1,appeals process,Enquire_Payments
3,enquiring about a payment,Enquire_Payments
1,non_lodger details,TaxReturn
4,family assistance lump_sum payment,Enquire_LumpPayment
3,no payments,Enquire_Payments
1,request a statement,IncomeReportingStatement
1,to claim parenting payment,Claim
1,child_care benefit assessment is incorrect,Enquire_CCB
1,to check my last financial year's details,PaySummary
1,my self_service,GoTo_SelfService
1,change in details,PersonalDetails
1,i need to find my taxable income for two thousand and seven,PaySummary
1,update income estimate for next financial year,Update_FamilyIncomeEstimate
1,summary month summary,Enquire_Payments
1,reconcile,Assessment
1,need to talk to a customer service,Request_Operator
1,for work,Employment
1,i'd like to change my bank details,PersonalDetails
1,to check more payments,Check_Payments
1,jet child_care fees,Enquire_Jet
1,payment that should have been received on the fourth of july,Enquire_Payments
1,to change where my child_care goes to child_care,Enquire_CCB
1,declaring work,Report_Earnings
10,earning,Enquire_Earnings
1,enquiry for an operator,Request_Operator
1,to talk to a customer service representative,Request_Operator
1,including my husband's coming back,Change_Circumstances
1,to check the estimate i had given on income,Update_FamilyIncomeEstimate
1,my tax rebate enquiry,ChildCareRebate
1,one child is not a school child,Enquire_FamilyAssistance
1,changes review of family tax benefit,Enquire_FTB
1,my daughter is turning sixteen,Enquire_FTB
1,to change an automatic payment,Enquire_Payments
1,i wanna check on the cancellation of my family assistance,Enquire_FamilyAssistance
1,i want to find out how much money i'm getting,Check_Payments
1,to ask about the loan,Advance
1,i have to give you a new amount of my son's earnings for the next financial year which will reduce my tax benefit part_a,Enquire_FTB
1,advise income level,Update_FamilyIncomeEstimate
1,find out about the family tax money we get in july,Enquire_LumpPayment
1,i want to know why i haven't received any family assistance in the last six months,Enquire_FamilyAssistance
1,about family assistant,Enquire_FamilyAssistance
1,first time registration with centrelink,Enquire_FamilyAssistance
1,enquiry about family tax bonus,Enquire_LumpPayment
1,speak to an operator about my tax,Enquire_Tax
1,registering new birth,Enquire_FamilyAssistance
3,child_care hours,Enquire_CCB
27,to talk to an operator,Request_Operator
1,adding a day_care provider,Enquire_CCB
6,new_born claim,Claim
1,my my gross income,Update_FamilyIncomeEstimate
1,assistance with website,Support_SelfService
1,to see if the application that's gone into medicare covers the baby assistance of payment of four thousand dollars,Maternity
1,update records,PersonalDetails
1,i was talking to a customer service and i got cut off,Request_Operator
2,ab study,Education
1,i have a question about child_care benefit,Enquire_CCB
1,how much money i can earn before my pension,Enquire_FamilyAssistance
1,operator payments,Request_Operator
1,child support agency told me to,ChildSupport
1,the six hundred dollar grant per child,Enquire_LumpPayment
1,advance tax payment,Advance
1,enquiry on tax payment,Enquire_Payments
1,i need to check my payments as due,Check_Payments
1,i need to ask about assessment methods of child_care benefits for approved care,Enquire_CCB
1,change of employer,Employment
1,i need to see my earnings i can't see my earnings i need to speak to somebody,Enquire_Payments
2,to report the earning,Report_Earnings
3,about my family tax,Enquire_FTB
1,overseas travel,Overseas
1,to lodge a claim,Claim
1,check payment self_service,Check_Payments
2,update family allowance,Enquire_FTB
1,enquiry on a payment,Enquire_Payments
1,advance payment parenting payment,Advance
1,recent correspondence,Respond_Correspondence
2,summaries,PaySummary
1,tax payments tax certificate,PaySummary
1,i need to check on day_care rebates,ChildCareRebate
1,a benefit claim,Enquire_FamilyAssistance
1,parenting appointment,Appointment
1,i have to inform about my tax return,TaxReturn
1,query on my claim,Claim
2,order an income statement,IncomeReportingStatement
3,child_care benefit approved care,Enquire_CCB
3,child_care benefit query,Enquire_CCB
1,speak to the customer service advisor for the tax return,TaxReturn
1,group certificate centrelink group certificate,PaySummary
1,six hundred dollar carer bonus allowance,Enquire_LumpPayment
1,check payments future payments,Check_Payments
1,need more information about family assistance,Enquire_FamilyAssistance
1,subsidy,Enquire_Vague
1,need to talk to a customer representative,Request_Operator
1,change of care arrangements,Enquire_SharedCare
1,july family tax,Enquire_LumpPayment
1,i need to enroll in tax file tax family benefits,Claim
4,family allowance advance,Advance
1,i want to cancel centre_pay,Deductions
1,for child_care benefit for registered care,Enquire_CCB
1,i would like to hear about my current debt,Debt
1,in regards to share care for family assistance,Enquire_SharedCare
1,i'd like to know my child_care benefit,Enquire_CCB
1,i just like to speak to i have an enquiry,Enquire_Vague
1,i need to give my estimate,Update_FamilyIncomeEstimate
1,adding a child_care name for my children child_care service oh,Enquire_CCB
4,service please,Request_Operator
1,i have a query i want to speak to someone please now,Request_Operator
1,income adjustment information,Update_FamilyIncomeEstimate
2,parenting bonus,Enquire_Parenting
1,none of your business,Enquire_Vague
1,assessment of child_care benefit,Enquire_CCB
1,enquiries about day_care,Enquire_CCB
1,apply for parenting payment loan,Advance
1,i'm receiving payments for for my for and they dropped me down to two hundred and fifty dollars per week i was wondering if i can get any help assistance on that,Enquire_Payments
1,change in family circumstances,Change_Circumstances
1,i need to check the status of my maternity payment,Maternity
1,i need to enquire about this about the the lump_sum for the kids money that comes in the middle of the year,Enquire_LumpPayment
1,how much you get for single parents three dependents,Enquire_Parenting
1,suspension,Enquire_Payments
1,claim for child_care benefits,Claim
2,query regarding family assistance,Enquire_FamilyAssistance
1,lump_sum advance advance payment,Advance
1,changes to my single parent,Enquire_Parenting
1,just wanna talk to someone,Request_Operator
1,i need a q_two_three_zero form,IncomeReportingStatement
1,received a family assistance letter in the mail,Enquire_FamilyAssistance
1,check my account my payments,Check_Payments
1,recommence payments,Enquire_Payments
1,i need proof of how much assistance i get,IncomeReportingStatement
1,i was waiting to see how much you get that bonus per child you have in july,Enquire_LumpPayment
1,help with calculation of family tax benefit,Enquire_FTB
1,youth allowance application,YouthAllowance
1,regarding family benefit,Enquire_FTB
1,to find out what how much is going in the pay in the bank tonight and to find out you've i've got a pin number and a website number and it's not working the password it's not working,Check_Payments
1,i need some papers sent out,IncomeReportingStatement
1,i have a question like to speak with someone,Request_Operator
1,payments for child_care,Enquire_CCB
1,none of an enquiry,Enquire_Vague
1,need to apply for a loan,Advance
1,to do my estimate of the financial year,Update_FamilyIncomeEstimate
1,register baby for medicare,MedicareCard
1,would like to know my earnings for a loan,Advance
1,about a pay about a payment,Enquire_Payments
1,trying to locate a payment,Enquire_Payments
1,i want to get an amount of how much i'm owing for my parenting payment,Enquire_Parenting
1,need to tell them about a tax return,TaxReturn
1,income for family,Update_FamilyIncomeEstimate
1,job,Employment
1,report working hours,Report_Earnings
1,maternity payments been cancelled,Maternity
2,change of information,Enquire_FamilyAssistance
1,to see if i pay tax through my pension,Enquire_Tax
1,i just want to see when i get the eight hundred dollars from the government in the mid_year in july what date i'll be receiving them,Enquire_LumpPayment
4,lost pension card,Cards
1,get reduction,Enquire_Payments
1,i need to speak to an operator about me daughter's working,Enquire_FamilyAssistance
1,need to lodge tax return,TaxReturn
1,child_care benefit yeah child_care benefit,Enquire_CCB
1,i would like to clarify some information,Respond_Correspondence
1,income estimate updates,Update_FamilyIncomeEstimate
1,i need to report that i don't work,Report_Earnings
1,like to enquire about parenting payment,Enquire_Parenting
2,update estimated income,Update_FamilyIncomeEstimate
1,employee details,Employment
1,an extension on handing in my form,Respond_Correspondence
1,about the bonus,GeneralBonus
1,additional child for child_care benefits,Enquire_CCB
1,the tax benefit a,Enquire_FTB
1,i didn't get a payment today,Enquire_Payments
1,change child_care centers,Enquire_CCB
1,to find out how earnings affect my payment,Enquire_Payments
3,returning a call,Respond_Correspondence
1,it's regard the child_care benefit,Enquire_CCB
1,child_care benefit operator,Enquire_CCB
1,new statement,IncomeReportingStatement
2,query about payment,Enquire_Payments
1,child's income for the year,Enquire_FamilyAssistance
1,update information for child_care benefit,Enquire_CCB
14,talk to operator,Request_Operator
1,i want to know whether i need to lodge a tax return,TaxReturn
2,speaking to operator,Request_Operator
16,i need to change my address,PersonalDetails
1,change of people living at the address,PersonalDetails
4,tax refund,Enquire_Tax
1,just wanna talk about the income update,Update_FamilyIncomeEstimate
2,circumstances changed,Change_Circumstances
1,school child,Enquire_CCB
6,update child_care benefit,Enquire_CCB
1,check out outstanding debt owing,Debt
2,stop payments,Enquire_Payments
1,a summary,PaySummary
1,change a bank account,PersonalDetails
1,family assistance debt,Debt
1,updating income estimate for oh seven oh eight financial year,Update_FamilyIncomeEstimate
1,i need to speak to someone about my family income estimate,Update_FamilyIncomeEstimate
1,i need to claim parenting payment,Claim
1,report update income,Update_FamilyIncomeEstimate
1,i want my percentage for child_care,Enquire_CCB
1,my wife's family tax benefit,Enquire_FTB
1,getting a loan,Advance
1,letter i received,Respond_Correspondence
1,just find i just wanna talk to a operator please,Request_Operator
1,phoning about parenting payment,Enquire_Parenting
1,the six hundred dollars,Enquire_LumpPayment
1,account payable with the family tax on the family tax benefit,Enquire_FTB
1,i need a tax statement,PaySummary
1,tax back,Enquire_Tax
1,for my estimate wages per annum,Update_FamilyIncomeEstimate
3,parenting payment application,Claim
1,to change my assessment,Assessment
1,a tax family benefit b,Enquire_FTB
1,oh i'm clearing my payments that i received today,Enquire_Payments
3,about the six hundred dollars per child,Enquire_LumpPayment
1,enquiring about how much i can earn when receiving parenting payments,Enquire_Parenting
1,to enquire about the family tax benefit bonus,Enquire_LumpPayment
1,incorrect percentages,Enquire_CCB
1,my family income i want to check my family income and my medicare for my daughter,Update_FamilyIncomeEstimate
1,to find out about help where's child benefit child_care course,Enquire_CCB
1,want to update my family assistance,Enquire_FamilyAssistance
1,no payment today,Enquire_Payments
1,i want to apply for maternity payment,Claim
1,i want to i want to have paperwork sent out for a carers pension,Carers
1,provider,Enquire_CCB
1,total of family tax benefit for two thousand and five to two thousand and six,PaySummary
1,child_care benefit rate,Enquire_CCB
1,i need to change a parenting payment,Enquire_Parenting
1,parent payment child_care,Enquire_Parenting
1,i want to start my family assistance payments and find out how much i owe for centrelink,Enquire_Payments
1,require a statement,IncomeReportingStatement
1,i need money,Enquire_Payments
1,to see if i need to fill in a tax return,TaxReturn
1,private company form returned,Respond_Correspondence
1,changes to income estimate,Update_FamilyIncomeEstimate
1,a consultant please,Request_Operator
1,family assistance form,IncomeReportingStatement
3,to report my fortnightly earnings,Report_Earnings
1,i need to know a payment about the advance what's due in july,Advance
1,information about a sixteen year old in my care,Enquire_SharedCare
1,wondering about the six hundred dollar payment,Enquire_LumpPayment
1,pension enquiry,Enquire_Payments
1,i didn't get my parenting payment,Enquire_Parenting
1,wanna know when i receive some monthly,Check_Payments
1,youth assistance no your family assistance,Enquire_FamilyAssistance
1,last payment details,Check_Payments
1,i'm just calling about the bonus that you get for the children for each year,Enquire_LumpPayment
1,to apply for family parent payment,Claim
1,returning to study,Education
1,i was wondering if i could get centrelink rebate on a holiday school holiday program,Enquire_CCB
8,taxable income for two thousand and seven,PaySummary
1,to know when my payment will be in,Check_Payments
1,estimate for two thousand and eight,Update_FamilyIncomeEstimate
1,child_care benefit application,Claim
1,i just got a letter saying i've got a cancellation of your parenting payment because i haven't provided documents to my identity and i've been into centrelink twice and i'm just about to go and pay my rent,Enquire_Parenting
1,reply to business details regarding earnings,Report_Earnings
1,price baby bonus,Maternity
1,get advance payment,Advance
1,trying to claim the thirty percent child_care rebate on my tax return,ChildCareRebate
1,change to fortnightly payments please,Enquire_Payments
1,to update family income details,Update_FamilyIncomeEstimate
1,advance payment for family tax,Advance
1,change the child_care benefit percentage,Enquire_CCB
1,the advance parenting payment loan,Advance
1,i need to tell you i'm living overseas,Overseas
1,informing of tax file number,PersonalDetails
2,not getting paid,Enquire_Payments
1,i have a part time job,Employment
1,to do with the child_care benefit percentage,Enquire_CCB
1,i wanted to enquire about i have to give a provider number for child_care and i wanted to enquire about an application for disability pension on aide,Enquire_CCB
1,to check my family tax benefit supplement,Enquire_FTB
2,child_care benefit cancellation,Enquire_CCB
4,to payments,Enquire_Payments
1,my son was born in singapore but is australian and i wanna know if i'm eligible for family assistance,Claim
1,rent assistance forms,RentAssistance
1,c c_c_b percentage,Enquire_CCB
1,rental assistance form,RentAssistance
1,to find out what's going on with my payment,Check_Payments
1,where's my family assistance payment,Enquire_Payments
1,change in shared care percentage,Enquire_SharedCare
11,carers payment,Carers
1,i just want to know if centrelink put money in my bank account last night,Check_Payments
1,i want to update my centrelink my centrelink earnings,Report_Earnings
1,i need to report my family assistance changes,Enquire_FamilyAssistance
1,my son is starting child_care,Enquire_CCB
1,a payment in advance,Advance
1,to say i don't have to put a tax return in,TaxReturn
1,family group certificate,PaySummary
1,to get to my son into vacation care i need a child_care benefit number or to advise you of the program number,Enquire_CCB
3,no,Garbage
1,i have to report earnings,Report_Earnings
2,after_care rebate,ChildCareRebate
1,two things,Garbage
1,i need family,Enquire_FamilyAssistance
1,six month bonus,Advance
1,to check my estimate,Update_FamilyIncomeEstimate
1,to find out my family tax part_a and b payments,Enquire_FTB
5,want to report my earnings,Report_Earnings
1,progress on maternity application maternity pay application,Claim
1,fortnightly earnings,Report_Earnings
1,finding out taxable income,PaySummary
2,immunization register,Immunisation
1,add child_care centre,Enquire_CCB
1,update my payment payments,Enquire_Payments
1,i'd like to apply for family tax loan,Advance
1,just have a query,Enquire_Vague
1,state family income estimates,Update_FamilyIncomeEstimate
1,operator i want talk to an operator,Request_Operator
1,i'm ringing about a letter,Respond_Correspondence
1,i forgot to report my earnings on my reporting day,Report_Earnings
1,i'm calling to report my earnings,Report_Earnings
1,i wanna,Garbage
1,i want an estimate,Update_FamilyIncomeEstimate
3,i need to change my bank details,PersonalDetails
1,family assistance letter i received for payment wondering with the financial year previous financial year i was supposed to paid but haven't received the funds and would like to speak to centrelink,Enquire_FamilyAssistance
1,cancel my tax deduct my tax thing,Deductions
1,i would like to apply for child_care benefit,Claim
1,my yearly statement,PaySummary
1,reporting my husband's income,Report_Earnings
1,checking on my family tax benefit,Enquire_FTB
1,i'm applying for family assistance,Claim
1,child_care service,Enquire_CCB
1,to let you know i'm working at the moment i start working,Employment
4,advanced family payment,Advance
1,down payment,Enquire_Payments
1,family assistance the benefit,Enquire_FamilyAssistance
1,i was given this number to give you the code,Support_SelfService
517,enquiry,Enquire_Vague
1,just payment details,Check_Payments
1,i have some queries about family tax benefit and child_care rebate,Enquire_FTB
2,register,Claim
1,update marital status,Change_Circumstances
1,family payment for children annual,Enquire_FTB
1,report approved care for child_care benefit,Enquire_CCB
1,to report my husband tax for two thousand and six,TaxReturn
1,an enquiry about my payment,Enquire_Payments
2,i want,Enquire_Vague
1,i wanna know about a three hundred dollar loan,Advance
7,care card,Cards
1,questions about the child_care rebate,ChildCareRebate
1,advice on tax return for centrelink,TaxReturn
1,to submit earnings,Report_Earnings
2,rent assistance form,RentAssistance
1,family assist payments,Enquire_Payments
1,reporting tax for tax reasons,TaxReturn
1,i need to enquire about a payment that i didn't get,Enquire_Payments
1,when our family payment per year,Enquire_FTB
1,information on family assistance,Enquire_FamilyAssistance
1,payment income,Enquire_Payments
1,what are deduction,Deductions
1,didn't get family assistance payment,Enquire_Payments
1,to report my tax income,Update_FamilyIncomeEstimate
1,six hundred dollar per child enquiry,Enquire_LumpPayment
1,after_school care and vacation care,Enquire_CCB
1,child_care benefits income assessment change,Update_FamilyIncomeEstimate
1,advance of family tax benefit,Advance
1,disabilities advance payment,Advance
1,i need to talk about tax return,TaxReturn
1,check my future payment,Check_Payments
1,i've forgotten my password using the internet log_on and i need to report my income for the past fortnight,Report_Earnings
1,i need to talk to a consultant i have an enquiry,Request_Operator
1,payments changed,Enquire_Payments
1,update contact information,PersonalDetails
1,i'm calling about the tax,Enquire_Tax
1,checking appointment,Appointment
1,advisement of non lodgement of tax,TaxReturn
2,carers allowance subsidy,Carers
1,i'm confused,Enquire_Vague
1,i need to earnings,Report_Earnings
1,check baby bonus,Maternity
1,p c_r_n number for my children,Enquire_CCB
1,the a query on m_o_d_p form,Respond_Correspondence
2,to let you know i don't have to lodge a tax return,TaxReturn
1,i'm enquiring about the lump_sum payment for next month per child,Enquire_LumpPayment
1,i would like to claim for family assistance but i don't know how to register in online,Claim
1,check on payment information,Check_Payments
1,if i'll get my six hundred dollar bonus payment this year,Enquire_LumpPayment
2,becoming partnered,Change_Circumstances
1,you're not paying me properly,Enquire_Payments
1,i need to speak to a client service operator,Request_Operator
56,update estimate,Update_FamilyIncomeEstimate
1,family tax benefit advance lump_sum,Advance
1,i need to change my parenting payment detail,Enquire_Parenting
2,family assistance please,Enquire_FamilyAssistance
1,i've not been paid,Enquire_Payments
1,my lump_sum,Enquire_LumpPayment
1,i wanted to know that my parenting,Enquire_Parenting
1,i'm not quite certain of how my tax form should be filled in in a couple of places can you help me please,Enquire_Tax
2,update my family estimate income,Update_FamilyIncomeEstimate
1,because i would like to speak to a manager someone in charge,Request_Operator
1,about a debt,Debt
1,i speak to a operator,Request_Operator
1,application for family tax,Claim
1,i need to talk to somebody please,Request_Operator
1,i have received a letter in relation to my child_care benefits for a non_school child but my children are at school i'm not sure why i received the letter,Enquire_CCB
1,an enquiry on parenting payment,Enquire_Parenting
9,estimate income,Update_FamilyIncomeEstimate
1,new family assistance claim,Claim
2,i've stopped working,Employment
1,i want to update my income records,Update_FamilyIncomeEstimate
1,child_care benefit issue,Enquire_CCB
1,income estimate for oh seven oh eight,Update_FamilyIncomeEstimate
1,a letter i don't understand,Respond_Correspondence
1,our address changed,PersonalDetails
1,to put a new claim in,Claim
1,i just wanna know if i'm eligible for carer the new carers payment,Carers
1,reporting my employment my wages,Report_Earnings
1,on maternity leave,Maternity
1,this family tax benefit line,Enquire_FTB
1,taxable income for two oh seven,PaySummary
1,contacting child,Claim
1,non lodgement of tax return for this financial year,TaxReturn
1,the single parent payment lump_sum,Enquire_Parenting
1,to provide the provider number for out of high school care,Enquire_CCB
2,my loan,Advance
1,i need to check my payment amount,Check_Payments
1,change centrelink payment method,Enquire_Payments
1,enquiry about reconciliation payment,Enquire_LumpPayment
1,i wanna change my payment option,Enquire_Payments
1,i'm contacting your office to let you know i don't need to lodge a tax return,TaxReturn
1,five hundred dollar supplemental loan,Advance
1,response to parenting payment mail,Enquire_Parenting
1,i'm applying for an advance payment,Advance
1,i want to update my family estimate income estimate,Update_FamilyIncomeEstimate
1,report report a tax,TaxReturn
1,update my family benefit,Enquire_FTB
1,back from overseas,Overseas
1,taxation information,Enquire_Tax
1,looking for about the house insurance just in case,OutOfDomain
1,information used for calculating regular payment,Enquire_Payments
1,current assessment,Assessment
1,low income card,Cards
1,i need to enquire about child_care benefit,Enquire_CCB
1,checking form received,IncomeReportingStatement
1,i'd like to know the the yearly payment from centrelink for taxation services,PaySummary
1,compensation for flooding,Announcement
1,just wondering about my lump_sum advance payment,Advance
1,wrong form sent out,Respond_Correspondence
1,a family supplement,Enquire_FamilyAssistance
19,update my income estimate,Update_FamilyIncomeEstimate
1,family bonus payment,GeneralBonus
1,i want to give my bank account detail,PersonalDetails
1,yearly family payment allowance,Enquire_FTB
1,discrepancy about family assistance,Enquire_FamilyAssistance
1,the six hundred for each child,Enquire_LumpPayment
1,enquiry of family payment,Enquire_Payments
1,i need to change my bank account number,PersonalDetails
1,some family dispute and advice,GeneralEnquiry
1,check on my family large supplement check supplement,Enquire_FamilyAssistance
1,do i get a new health_care card please,Cards
1,payment deduction,Deductions
1,a payment form that i received,Respond_Correspondence
1,jet child_care free assistance,Enquire_Jet
1,query about a payment,Enquire_Payments
1,next advance,Advance
1,need help with online services,Support_SelfService
1,need to borrow some money,Advance
1,website address,Support_SelfService
6,enquiry about my payment,Enquire_Payments
106,update income,Update_FamilyIncomeEstimate
1,i'm enquiring about the family tax benefit payment,Enquire_FTB
1,enquiring if i'm eligible for family assistance the child support,ChildSupport
1,i wanna know my pay that i'm getting this thursday whether it it's got the extra money in it this thursday or not,Check_Payments
1,next payment information,Check_Payments
1,financial tax income for the year,PaySummary
